o,C,R,D,Fo,DistToCritical,DistToDesirable,CurrentHasLM,Label
SAIL L4 L1,0.25,0.0,0.01,1.24,-1,9,0.5,N
BOARD C2 L1,0.33,0.0,0.02,1.31,-1,9,0.33,N
SAIL L1 L2,0.33,0.0,0.01,1.32,-1,9,0.17,N
SAIL L2 L3,0.5,0.03,0.0,1.53,5,11,0.33,N
SAIL L3 L4,1.0,0.11,0.0,2.1100000000000003,8,19,0.33,N
DEBARK C2 L4,0.33,0.11,0.0,1.44,7,18,0.5,N
SAIL L4 L1,0.33,0.15,0.0,1.48,6,16,0.5,N
BOARD C1 L1,0.33,0.45,0.01,1.77,5,15,0.33,N
SAIL L1 L4,0.33,0.13,0.01,1.45,6,15,0.33,N
SAIL L4 L2,0.5,0.5,0.5,1.5,1,1,0.17,N
DEBARK C1 L2,1.0,0.0,1.0,1.0,-1,0,0.17,N
